CustomerID,Lookalikes
C0001,"[('C0164', 0.9684103747672835), ('C0137', 0.9620808326053049), ('C0069', 0.9550713611775173)]"
C0002,"[('C0029', 0.999761634349898), ('C0031', 0.999012767647174), ('C0094', 0.9935549754103506)]"
C0003,"[('C0176', 0.8906401232895583), ('C0027', 0.8635793097874299), ('C0010', 0.8297171756607857)]"
C0004,"[('C0075', 0.997674065238924), ('C0175', 0.9940844827669523), ('C0195', 0.9935556068793537)]"
C0005,"[('C0058', 0.9997982043779897), ('C0123', 0.999705757102651), ('C0015', 0.999688962808302)]"
C0006,"[('C0079', 0.9998795967431424), ('C0196', 0.9942428517003666), ('C0117', 0.9890464129049238)]"
C0007,"[('C0140', 0.9985337287784549), ('C0085', 0.9953541911367758), ('C0125', 0.9953474115821759)]"
C0008,"[('C0179', 0.9965086350321658), ('C0081', 0.9926519091915026), ('C0090', 0.9879299030214599)]"
C0009,"[('C0192', 0.9983620640345529), ('C0177', 0.9963247565166136), ('C0083', 0.9956812088392266)]"
C0010,"[('C0142', 0.964094866380962), ('C0027', 0.9563891132349022), ('C0029', 0.9551193524385139)]"
C0011,"[('C0023', 0.9819122814188915), ('C0064', 0.9760655386675107), ('C0100', 0.9748553748057436)]"
C0012,"[('C0041', 0.9973183081389471), ('C0045', 0.9957679071207579), ('C0087', 0.9949099733379417)]"
C0013,"[('C0059', 0.9992581092102039), ('C0141', 0.9978361389320974), ('C0105', 0.9977518717942893)]"
C0014,"[('C0033', 0.9996378284444327), ('C0095', 0.9995970404048435), ('C0060', 0.99942148368938)]"
C0015,"[('C0131', 0.9999953416670487), ('C0058', 0.9999874168608279), ('C0005', 0.999688962808302)]"
C0016,"[('C0107', 0.9642876834861008), ('C0152', 0.8486463373851234), ('C0183', 0.8342045506911488)]"
C0017,"[('C0162', 0.9977685065474173), ('C0124', 0.9977055542411002), ('C0084', 0.9960896356490087)]"
C0018,"[('C0182', 0.9847257873183773), ('C0165', 0.9846269845769469), ('C0028', 0.9843792860871864)]"
C0019,"[('C0172', 0.986973097326942), ('C0116', 0.9583927127074583), ('C0056', 0.9057829108798118)]"
C0020,"[('C0080', 0.999894521123968), ('C0167', 0.9996792207434817), ('C0063', 0.9991215168244049)]"
C0021,"[('C0108', 0.9991587931178616), ('C0067', 0.9976725127995538), ('C0122', 0.989577046022363)]"
C0022,"[('C0013', 0.9975104849575639), ('C0155', 0.9965705788327004), ('C0051', 0.995935919312681)]"
C0023,"[('C0100', 0.9990482771647566), ('C0011', 0.9819122814188915), ('C0051', 0.9775470171144646)]"
C0024,"[('C0194', 0.9919556361367863), ('C0081', 0.985681025184257), ('C0139', 0.9850687693224672)]"
C0025,"[('C0199', 0.9970906821018457), ('C0032', 0.9934339128320328), ('C0083', 0.9920506148525787)]"
C0026,"[('C0040', 0.9956059041002254), ('C0066', 0.9489893422348923), ('C0185', 0.942906839448484)]"
C0027,"[('C0166', 0.9788131740245243), ('C0142', 0.9775438532784017), ('C0073', 0.9735547956708651)]"
C0028,"[('C0143', 0.9977282264898312), ('C0012', 0.9871913746271885), ('C0182', 0.9844583493216134)]"
C0029,"[('C0002', 0.999761634349898), ('C0031', 0.9978047340454789), ('C0094', 0.9951410750871295)]"
C0030,"[('C0038', 0.9997089937743083), ('C0086', 0.9993424345497314), ('C0106', 0.9957588503292553)]"
C0031,"[('C0002', 0.999012767647174), ('C0029', 0.9978047340454789), ('C0077', 0.9970313428116166)]"
C0032,"[('C0199', 0.9986191725163619), ('C0083', 0.9985099582817061), ('C0043', 0.997779161291414)]"
C0033,"[('C0060', 0.9999747781569307), ('C0014', 0.9996378284444327), ('C0186', 0.9992580301921479)]"
C0034,"[('C0181', 0.9433051871577779), ('C0049', 0.8883901955605928), ('C0109', 0.8701993333609975)]"
C0035,"[('C0186', 0.999219221593178), ('C0071', 0.9985280133720289), ('C0060', 0.9985186491900818)]"
C0036,"[('C0112', 0.9996897941191085), ('C0060', 0.9992453919983745), ('C0033', 0.9991895768723486)]"
C0037,"[('C0170', 0.9987509243101385), ('C0171', 0.996565270758588), ('C0096', 0.9936356466770985)]"
C0038,"[('C0086', 0.9999262965153445), ('C0030', 0.9997089937743083), ('C0106', 0.997688451678711)]"
C0039,"[('C0113', 0.9993948473477124), ('C0075', 0.9943622287441946), ('C0195', 0.9943430918767844)]"
C0040,"[('C0026', 0.9956059041002254), ('C0066', 0.9615477839546696), ('C0185', 0.9393899029999729)]"
C0041,"[('C0045', 0.9997278031613949), ('C0012', 0.9973183081389471), ('C0153', 0.995810661498992)]"
C0042,"[('C0125', 0.9974620715772442), ('C0085', 0.9965262500841997), ('C0061', 0.9964811872293462)]"
C0043,"[('C0071', 0.9980973626444781), ('C0032', 0.997779161291414), ('C0035', 0.9959625898630694)]"
